id,question,result
tttt----1----1-1-1,600872的全称、A股简称、法人、法律顾问、会计师事务所及董秘是？,astockbasicinfodb.lc_stockarchives
tttt----1----1-1-2,该公司实控人是否发生改变？如果发生变化，什么时候变成了谁？是哪国人？是否有永久境外居留权？（回答时间用XXXX-XX-XX）,astockshareholderdb.lc_actualcontroller
tttt----1----1-1-3,在实控人发生变化的当年股权发生了几次转让？,astockshareholderdb.lc_sharetransfer
tttt----2----2-1-1,今天是2021年12月24日，创近半年新高的股票有几只？,astockmarketquotesdb.cs_stockpatterns
tttt----2----2-1-2,哪些股票股价大于75，且同时当天创一年新高的是？,astockmarketquotesdb.qt_dailyquote
tttt----2----2-1-3,以上股票连续两日（今日与昨日）满足上述要求的是？,astockmarketquotesdb.cs_stockpatterns
tttt----3----3-2-1,2019年度（合并）常熟银行的职工总数有多少人？,astockoperationsdb.lc_staff
tttt----3----3-2-2,该公司披露的硕士或研究生学历（及以上）的有多少人？,astockoperationsdb.lc_staff
tttt----3----3-2-3,20201月1日至年底退休了多少人？,astockoperationsdb.lc_staff
tttt----4----4-2-1,互联网金融属于科技概念的什么分支？这个概念的英文名称是什么？,astockindustrydb.lc_conceptlist
tttt----4----4-2-2,截至2021年底，这个概念有多少只股票（不包含已经调出的）？调出了多少只股票？,astockindustrydb.lc_coconcept
tttt----4----4-2-3,哪些是2020年纳入的，A股简称分别叫什么？,astockbasicinfodb.lc_stockarchives
tttt----5----5-2-1,化工纳入过多少个子类概念？,astockindustrydb.lc_conceptlist
tttt----5----5-2-2,2021年纳入过多少个？分别是？,indexdb.lc_indexcomponent
tttt----5----5-2-3,2021年纳入的这些概念的股票有多少只？分别属于哪些三级行业（仅考虑2021年新纳入的行业数据）？,"astockindustrydb.lc_coconcept, astockindustrydb.lc_exgindustry"
tttt----6----6-2-1,天顺风能披露了多少次担保信息？,astockeventsdb.lc_warrant
tttt----6----6-2-2,他一共披露过多少次借贷信息？2021年披露了多少次？,astockeventsdb.lc_credit
tttt----6----6-2-3,他一共披露了多少次重大资产重组信息？2021年披露了多少次？2020年披露了多少次？,astockeventsdb.lc_regroup
tttt----7----7-2-1,天顺风能属于哪个三级行业？,astockindustrydb.lc_exgindustry
tttt----7----7-2-2,2021年发布的该行业的股票有多少只？,astockindustrydb.lc_industryvaluation
tttt----7----7-2-3,该行业8月公布的最高行业营业收入是多少万元？,astockindustrydb.lc_industryvaluation
tttt----8----8-2-1,首钢股份发布增发和配股次数分别是多少次？,"astockfinancedb.lc_ashareseasonednewissue, astockfinancedb.lc_ashareplacement"
tttt----8----8-2-2,该股每次增发预计募集资金总额分别是？增发预计募集资金总额最高的公司中文全称是？金额是？,astockfinancedb.lc_ashareseasonednewissue
tttt----8----8-2-3,该股每次配股发行费用总额分别是？配股发行费用总额最高的中文全称是？金额是？,astockfinancedb.lc_ashareplacement
tttt----9----9-2-1,新天绿能2020年年度研发投入合计是多少元？研发人员数量为多少人？（合并报表调整后的，金额保留2位小数）,astockfinancedb.lc_intassetsdetail
tttt----9----9-2-2,费用化研发占比为？资本化研发占比为？,astockfinancedb.lc_intassetsdetail
tttt----9----9-2-3,上一年度研发投入最高的三家公司是？（回答中文简称）,astockfinancedb.lc_intassetsdetail
tttt----10----10-2-1,000958公司2021年主营业务产品有哪些？（合并报表调整后的，金额保留2位小数）,astockfinancedb.lc_mainoperincome
tttt----10----10-2-2,公司2021年比2020年主营业务产品减少的有？,astockfinancedb.lc_mainoperincome
tttt----10----10-2-3,公司2021年度经营情况的信息发布日期是（XXXX-XX-XX）？,astockfinancedb.lc_operatingstatus
tttt----11----11-2-1,工商银行的H股代码、中文名称及英文名称分别是？,hkstockdb.hk_stockarchives
tttt----11----11-2-2,该公司的主席及公司邮箱是？,astockbasicinfodb.lc_stockarchives
tttt----11----11-2-3,该公司2020年12月底披露的变更前后的员工人数为多少人？,astockoperationsdb.lc_staff
tttt----12----12-2-1,今天是2020年6月24日，阅文集团近一个月最高价是（保留2位小数）？,astockmarketquotesdb.qt_dailyquote
tttt----12----12-2-2,近一年最低价？,astockmarketquotesdb.qt_dailyquote
tttt----12----12-2-3,差额是？,
tttt----13----13-2-1,今天是2020年10月27日，当日收盘价第3高的港股是？(以下都回答简称),hkstockdb.cs_hkstockperformance
tttt----13----13-2-2,成交量第3高的是？,astockmarketquotesdb.cs_turnovervoltecindex
tttt----13----13-2-3,换手率第3高的是？,astockmarketquotesdb.qt_stockperformance
tttt----14----14-2-1,2019-09-02，当日收盘价最高的港股是？(以下都回答简称),hkstockdb.cs_hkstockperformance
tttt----14----14-2-2,2019-09-02，当日成交量最高的是？,astockmarketquotesdb.qt_dailyquote
